agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Labor Department Wage and Hour Division,WHD,2012,"Ace Cash Express, Inc.",Irving,,,TX,75038,,521110,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",691056,ACE Cash Express,,,20170322,18852,0,18852,1650167,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,521110: Monetary Authorities - Central Bank,1650167,,20120409,federal,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2009,"Ace Cash Express, Inc.",,,,NE,,,,http://www.nebraska.gov/ndbf/searches/Orders/20091221_DDS_Consent_Agreement.pdf,,3427313,ACE Cash Express,,,20200615,15550,0,15550,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20091221,state,agency action,,,,,ACE Cash Express,,,
Labor Department Wage and Hour Division,WHD,2005,"Ace Cash Express, Inc.",Irving,,,TX,75038,,45399,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",725318,ACE Cash Express,,,20170322,12796,0,12796,1428937,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,45399: All Other Miscellaneous Store Retailers,1428937,,20051001,federal,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2010,"Ace Cash Express, Inc.",Omaha,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20100714_Ace_Cash_Express,_Inc.,_Omaha,_Douglas_County.pdf",,3427323,ACE Cash Express,,,20200615,11950,0,11950,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20100714,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2010,"Ace Cash Express, Inc.",Lincoln,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20100714_Ace_Cash_Express,_Inc.,_Lincoln,_Lancaster_County.pdf",,3427324,ACE Cash Express,,,20200615,8550,0,8550,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20100714,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2012,"Ace Cash Express, Inc.",,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20120105_Ace_Cash_Express,_Inc.,_Omaha.pdf",,3427340,ACE Cash Express,,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20120105,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2010,"Ace Cash Express, Inc.",Grand Island,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20100714_Ace_Cash_Express,_Inc.,_Grand_Island,_Hall_County.pdf",,3427325,ACE Cash Express,,,20200615,6550,0,6550,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20100714,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2012,"Ace Cash Express, Inc.",Bellevue,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20120910_Ace_Cash_Express,_Inc.,_Bellevue,_Sarpy.pdf",,3427346,ACE Cash Express,,,20200615,5800,0,5800,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20120910,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2015,"Ace Cash Express, Inc.",Bellevue,,,NE,,,,http://www.nebraska.gov/ndbf/searches/Orders/20150730AceConsentAgreementBellevue.pdf,,3427360,ACE Cash Express,,,20200615,5450,0,5450,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20150730,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2012,"Ace Cash Express, Inc.",Omaha,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20121206_Ace_Cash_Express,_Inc.,_Omaha.pdf",,3427332,ACE Cash Express,,,20200615,5400,0,5400,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20121206,state,agency action,,,,,ACE Cash Express,,,
Florida Office of Financial Regulation,FL-OFR,2002,"ACE Cash Express, Inc. dba ACE America's Cash Express",,,,FL,,"ACE Cash Express agreed to pay $500,000 and cancel customer debts in settlement of allegations its deferred deposit  check cashing services and bill paying services violated state regulations.",,https://real.flofr.com/datamart/searchFinalOrderFLOFR.do,,3422575,ACE Cash Express,,,20200615,500000,0,500000,,civil,,consumer-protection-related offenses,consumer protection violation,,,9177-F-9/02,,20021230,state,agency action,,,,,ACE Cash Express,,,
Nebraska Department of Banking & Finance,NE-DBF,2010,"Ace Cash Express, Inc.,",,,,NE,,,,"http://www.nebraska.gov/ndbf/searches/Orders/20100401_Ace_Cash_Express,_Inc.,_Omaha,_Douglas_County.pdf",,3427320,ACE Cash Express,,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20100401,state,agency action,,,,,ACE Cash Express,,,
Texas Department of Insurance,TX-INS,2018,Accident Fund General Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp,,3431163,AF Group,,,20200615,6400,0,6400,,civil,,consumer-protection-related offenses,insurance violation,,,,,20180925,state,agency action,,,,,AF Group,,,
Texas Department of Insurance,TX-INS,2011,Accident Fund Insurance Co. of America,,,,TX,,workers compensation,,"Texas Workers' Comp September Enforcements Include $118K in Fines, Insurance Journal, October 18, 2011 (via Nexis).",,3430537,AF Group,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20110923,state,agency action,,,,,AF Group,,,
Environmental Protection Agency referral to the Justice Department,EPA,2013,Wisconsin Power and Light Company,,,,WI,,"The Department of Justice, the U.S. Environmental Protection Agency (EPA), and the United States Attorney's Office for the Western District of Wisconsin announced a Clean Air Act (CAA) settlement with Wisconsin Power and Light Company (WPL) that will significantly reduce air pollution from three coal-fired power plants located near Portage, Sheboygan, and Cassville, Wis. WPL operates the plants that are covered by the settlement, and the other defendants, Wisconsin Public Service Corporation (WPSC), Madison Gas and Electric Company, and Wisconsin Electric Power Company, are co- and former owners of the units.  WPL and its co-defendants agreed to invest more than $1 billion in pollution control technology, spend a total of $8.5 million on environmental mitigation projects, and pay a civil penalty of $2.45 million to resolve alleged violations of the CAA.",,http://www.justice.gov/opa/pr/clean-air-act-settlement-wisconsin-utilities-reduce-emissions-more-50000-tons-annually,,16184,Alliant Energy,US0188021085,352541,20151011,1010950000,0,1010950000,,civil,,environment-related offenses,environmental violation,,,,,20130422,federal,agency action,,,,,Alliant Energy,US0188021085,352541,
U.S. Attorney-Southern District of New York,USAO,2022,Allianz Global Investors U.S. LLC,,,,,,"The Justice Department announced a plea agreement pursuant to which Allianz Global Investors agreed to plead guilty to securities fraud in connection with a scheme in which institutional investors, including public pension funds, were encouragd to invest in risky complex products, resulting in heavy losses. Allianz agreed to pay more than $3 billion in restitution to the innocent victims of this fraud, pay a criminal fine of approximately $2.3 billion, and forfeit approximately $463 million to the Government.",,https://www.justice.gov/usao-sdny/pr/three-portfolio-managers-and-allianz-global-investors-us-charged-connection-multi,,4934360,Allianz,DE0008404005,,20220616,5763000000,0,5763000000,,criminal,,financial offenses,investor protection violation,fraud,,,,20220517,federal,agency action,,,,,Allianz,DE0008404005,,
Securities and Exchange Commission,SEC,2022,Allianz Global Investors U.S. LLC,,,,,,"The Securities and Exchange Commission charged Allianz Global Investors U.S. LLC (AGI US) and three former senior portfolio managers with a massive fraudulent scheme that concealed the immense downside risks of a complex options trading strategy they called Structured Alpha. AGI US marketed and sold the strategy to approximately 114 institutional investors, including pension funds for teachers, clergy, bus drivers, engineers, and other individuals. After the COVID-19 market crash of March 2020 exposed the fraudulent scheme, the strategy lost billions of dollars. AGI US agreed to pay billions of dollars as part of an integrated, global resolution, including more than $1 billion to settle SEC charges and together with its parent, Allianz SE, over $5 billion in restitution to victims (see separate entry from U.S. Attorney for the Southern District of New York). A portion--$349.2 million--of the SEC penalty was deemed satisfied by the payments made in the SDNY case.",,https://www.sec.gov/news/press-release/2022-84,,4934323,Allianz,DE0008404005,,20220616,1024200000,349200000,675000000,,civil,,financial offenses,investor protection violation,,,,,20220517,federal,agency action,,,,,Allianz,DE0008404005,,
Justice Department Environment and Natural Resources Division,EPA,2007,American Electric Power,,,,,,"American Electric Power agreed to cut 813,000 tons of air pollutants annually at an estimated cost of more than $4.6 billion, pay a $15 million penalty, and spend $60 million on projects to mitigate the adverse effects of its past excess emissions. ",,https://www.justice.gov/archive/opa/pr/2007/October/07_enrd_797.html,,207970,American Electric Power,US0255371017,4904,20170110,4675000000,0,4675000000,,civil,,environment-related offenses,environmental violation,,,,,20071009,federal,agency action,,,,,American Electric Power,US0255371017,4904,
Multistate Attorneys General Case,MULTI-AG,2007,American Electric Power,,,,,,"To resolve a multistate air pollution lawsuit, AEP agreed to invest approximately $4.6 billion to cut over 800,000 tons of emissions yearly from its 16 power plants. AEP also agreed to pay $75 million for penalties and environmental projects. All this was part of a settlement that also involved the U.S. Justice Department, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-american-electric-power-0",,https://web.archive.org/web/20100213174102/http://www.ag.ny.gov/media_center/2007/oct/oct9a_07.html,,3186487,American Electric Power,US0255371017,4904,20190907,4675000000,4675000000,0,,civil,,environment-related offenses,environmental violation,,,,,20071009,state,agency action,,,,,American Electric Power,US0255371017,4904,
Texas Department of Insurance,TX-INS,2014,Great American Alliance Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=2,,3430685,American Financial Group,US0259321042,1042046,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140707,state,agency action,,,,,American Financial Group,US0259321042,1042046,
Texas Department of Insurance,TX-INS,2015,AIG Property Casualty Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=3,,3430740,American International Group,US0268747849,5272,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150120,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2016,American Home Assurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp,,3430904,American International Group,US0268747849,5272,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20160920,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2014,American Home Assurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=2,,3430683,American International Group,US0268747849,5272,20200615,7848,0,7848,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140707,state,agency action,,,,,American International Group,US0268747849,5272,
New York Attorney General,NY-AG,2006,American International Group,,,,NY,,"AIG agreed to a settlement with the New York Attorney General and the federal government worth more than $1.6 billion to resolve allegations of fraud, bid-rigging and improper accounting. Of the total, $800 million was to go to investors deceived by false financial statements, $375 million to AIG policyholders harmed by bid rigging activities and $344 million to states harmed by AIG's practices between 1986 and 1995 involving workers' compensation funds. In addition, New York imposed a $100 million penalty against the company. The SEC issued its own announcement about the $800 million portion of the settlement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-american-international-group-inc-1",,https://web.archive.org/web/20101111174444/http://www.ag.ny.gov/media_center/2006/feb/feb09a_06.html,,3186511,American International Group,US0268747849,5272,20190907,1619000000,800000000,819000000,,civil,,competition-related offenses,price-fixing or anti-competitive practices,accounting fraud or deficiencies,,,,20060209,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2012,Illinois National Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2012.asp?page=4,,3430552,American International Group,US0268747849,5272,20200615,8900,0,8900,,civil,,consumer-protection-related offenses,insurance violation,,,,,20120130,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2015,Illinois National Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=3,,3430735,American International Group,US0268747849,5272,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150106,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2018,Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp?page=2,,3431092,American International Group,US0268747849,5272,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20180130,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2020,New Hampshire Insurance Co.,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206360.pdf,,3645908,American International Group,US0268747849,5272,20200921,9500,0,9500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200608,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2020,New Hampshire Insurance Co.,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206427.pdf,,3645884,American International Group,US0268747849,5272,20200921,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200806,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2015,New Hampshire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp,,3430795,American International Group,US0268747849,5272,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20151005,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2009,New Hampshire Insurance Company,,,,TX,,workers compensation,,"DWC ANNOUNCES ENFORCEMENT ACTIONS FOR DECEMBER 2008 AND JANUARY 2009, States News Service, March 6, 2009 (via Nexis).",,3430351,American International Group,US0268747849,5272,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20090108,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2019,New Hampshire Insurance Company,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc195843.pdf,,3431222,American International Group,US0268747849,5272,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190111,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2015,New Hampshire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp,,3430794,American International Group,US0268747849,5272,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20151002,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2019,The Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc196100.pdf,,3431284,American International Group,US0268747849,5272,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190930,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2018,The Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp,,3431207,American International Group,US0268747849,5272,20200615,8400,0,8400,,civil,,consumer-protection-related offenses,insurance violation,,,,,20181227,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2014,The Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=3,,3430682,American International Group,US0268747849,5272,20200615,8397,0,8397,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140530,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2009,The Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,"DWC ANNOUNCES ENFORCEMENT ACTIONS FOR DECEMBER 2008 AND JANUARY 2009, States News Service, March 6, 2009 (via Nexis).",,3430350,American International Group,US0268747849,5272,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20090108,state,agency action,,,,,American International Group,US0268747849,5272,
Texas Department of Insurance,TX-INS,2014,The Insurance Company of the State of Pennsylvania,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430715,American International Group,US0268747849,5272,20200615,6500,0,6500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141022,state,agency action,,,,,American International Group,US0268747849,5272,
Multistate Attorneys General Case,MULTI-AG,2021,AmerisourceBergen Corporation,,,,,,"The three major pharmaceutical distributors--McKesson, AmerisourceBergen and Cardinal Health--reached a $21 billion settlement with a group of states to resolve litigation alleging the improper sale of pain medications, contributing to the national opioid epidemic. McKesson agreed to pay 38.1 percent of the total, while AmerisourceBergen paid 31 percent and Cardinal Health 30.9 percent.",,https://ncdoj.gov/attorney-general-josh-stein-announces-26-billion-agreement-with-opioid-distributors-manufacturer/,,3963980,AmerisourceBergen,US03073E1055,1140859,20210917,6510000000,0,6510000000,,civil,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20210721,state,agency action,,,,,AmerisourceBergen,US03073E1055,1140859,
Texas Department of Insurance,TX-INS,2018,Arch Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp,,3431128,Arch Capital,BMG0450A1053,947484,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20180601,state,agency action,,,,,Arch Capital,BMG0450A1053,947484,
Texas Department of Insurance,TX-INS,2008,"Virginia Surety Company, Inc.",,,,TX,,workers compensation,,"DIVISION OF WORKERS COMPENSATION ANNOUNCES ENFORCEMENT ACTIONS FOR JUNE THROUGH OCTOBER, 2008, States News Service, January 8, 2009 (via Nexis).",,3430330,Assurant,US04621X1081,1267238,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20080820,state,agency action,,,,,Onex,CA68272K1030,,"In 2014 Onex sold Virginia Surety to TPG Capital, which sold it to Assurant in 2018"
Texas Department of Insurance,TX-INS,2011,XL Insurance America Inc.,,,,TX,,workers compensation,,"Texas Workers' Comp May Enforcements Bring More than $70K in Fines, Insurance Journal, June 15, 2011 (via Nexis).",,3430524,AXA,FR0000120628,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20110527,state,agency action,,,,,XL Insurance,IE00B5LRLL25,,AXA acquired XL Insurance in 2018
Texas Department of Insurance,TX-INS,2020,XL Specialty Insurance Co.,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206362.pdf,,3645906,AXA,FR0000120628,,20200921,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200610,state,agency action,,,,,AXA,FR0000120628,,
Texas Department of Insurance,TX-INS,2014,XL Specialty Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=2,,3430707,AXA,FR0000120628,,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140909,state,agency action,,,,,XL Insurance,IE00B5LRLL25,,AXA acquired XL Insurance in 2018
Multistate Attorneys General Case,MULTI-AG,2008,Banc of America Securities LLC,,,,,,Bank of America agreed to return $4.5 billion to investors and pay $50 million in civil penalties as part of the resolution of multistate litigation alleging it misled customers in the marketing and sale of auction-rate securities.,,https://web.archive.org/web/20100215075849/http://www.ag.ny.gov/media_center/2008/oct/oct8a_08.html,,3186986,Bank of America,US0605051046,70858,20190907,4550000000,0,4550000000,,civil,,financial offenses,investor protection violation,,,,,20081008,state,agency action,,,,,Bank of America,US0605051046,70858,
Office of the Comptroller of the Currency,OCC,2013,Bank of America,,,,,,Ten mortgage servicing companies subject to enforcement actions for deficient practices in mortgage loan servicing and foreclosure processing reached an agreement in principle with the Office of the Comptroller of the Currency and the Federal Reserve Board to pay more than $8.5 billion in cash payments and other assistance to help borrowers.,,http://www.occ.gov/static/enforcement-actions/ea2013-127.pdf,,191774,Bank of America,US0605051046,70858,20160603,2886578478,0,2886578478,,civil,,financial offenses,banking violation,mortgage abuses,,,,20130107,federal,agency action,,,,,Bank of America,US0605051046,70858,
Multistate Attorneys General Case,MULTI-AG,2012,Bank of America,,,,,,"In a case brought by the Ohio AG on behalf of two state pension funds and other investors, Bank of America agreed to pay $2.43 billion to settle allegations that it made misstatements about its acquisition of Merrill Lynch that caused substantial harm to shareholders. The Teacher Retirement System of Texas was one of the lead plaintiffs in the case.",,https://www.ohioattorneygeneral.gov/Media/News-Releases/September-2012/Ohio-Attorney-General-DeWine-Announces-Record-$2-4,,3186993,Bank of America,US0605051046,70858,20190907,2430000000,0,2430000000,,civil,,financial offenses,investor protection violation,,,,,20120928,state,agency action,,,,,Bank of America,US0605051046,70858,
Multistate Attorneys General Case,MULTI-AG,2012,Bank of America,,,,,,"Bank of America, Wells Fargo, Citigroup, JPMorgan Chase, and Ally Financial agreed to pay a total of $5 billion in direct payments to resolve multistate litigation concerning abuses in their mortgage servicing and foreclosure practices; $4.25 billion of the total was to go to the states. This was part of the larger $25 billion National Mortgage Settlement that also included $20 billion in relief to borrowers; see the Violation Tracker entry for Bank of America at https://violationtracker.goodjobsfirst.org/violation-tracker/-bank-of-america-corporation-2.  The Bank of America settlement document linked below put its portion of the direct payments at $2,382,415,075.",,https://www.iowaattorneygeneral.gov/newsroom/miller-announces-25-billion-joint-state-federal-mortgage-servicing-settlement-on-foreclosure-wrongs/,,3186995,Bank of America,US0605051046,70858,20190907,2382415075,2382415075,0,,civil,,consumer-protection-related offenses,mortgage abuses,,,1:12-cv-0361,,20120209,state,agency action,District of the District of Columbia,United States of America et al. v. Bank of America Corporation et al.,,https://ecf.dcd.uscourts.gov/cgi-bin/DktRpt.pl?153229,Bank of America,US0605051046,70858,
Fannie Mae,FHFA,2011,Bank of America,,,,,,Bank of America announced agreements with the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Federal National Mortgage Association (Fannie Mae) to resolve repurchase claims involving certain residential mortgage loans sold to them by entities related to Countrywide Financial Corporation.,,https://web.archive.org/web/20170911230410if_/http://investor.bankofamerica.com/phoenix.zhtml?c=71595&p=irol-newsArticle&ID=1511819#fbid=9VsCt4nuUTl,,192181,Bank of America,US0605051046,70858,20160603,1520000000,0,1520000000,,civil,,financial offenses,toxic securities abuses,,,,,20110103,federal,agency action,,,,,Bank of America,US0605051046,70858,
Freddie Mac,FHFA,2011,Bank of America,,,,,,Bank of America announced agreements with the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Federal National Mortgage Association (Fannie Mae) to resolve repurchase claims involving certain residential mortgage loans sold to them by entities related to Countrywide Financial Corporation.,,https://web.archive.org/web/20170911230410if_/http://investor.bankofamerica.com/phoenix.zhtml?c=71595&p=irol-newsArticle&ID=1511819#fbid=9VsCt4nuUTl,,192180,Bank of America,US0605051046,70858,20160603,1300000000,0,1300000000,,civil,,financial offenses,toxic securities abuses,,,,,20110103,federal,agency action,,,,,Bank of America,US0605051046,70858,
Multistate Attorneys General Case,MULTI-AG,2010,Countrywide Financial Corporation,,,,,,The Massachusetts Attorney General negotiated an expansion of the 2008 $8.68 billion multistate settlement signed by Countrywide to resolve issues relating to abusive home mortgage practices. The new agreement provided an additional $3 billion for loan modifications nationwide along with $2.4 million in foreclosure relief in Massachusetts and $1.7 million to the state AG's office.,,https://web.archive.org/web/20100424054440/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2010_03_24_countrywide_agreement&csid=Cago,,3188279,Bank of America,US0605051046,70858,20190907,3004100000,0,3004100000,,civil,,consumer-protection-related offenses,mortgage abuses,,,,,20100324,state,agency action,,,,,Bank of America,US0605051046,70858,
Multistate Attorneys General Case,MULTI-AG,2008,Merrill Lynch & Co.,,,,,,"Merrill Lynch, Goldman Sachs and Deutsche Bank agreed to buy back $10 billion in securities as part of the resolution of multistate litigation alleging they misled customers in the marketing and sale of auction rate securities. The announcement did not specify how much each company would buy back. Here we assume the total was divided evenly between them. They also agreed to pay civil penalties; for Merrill Lynch the amount was $125 million. ",,https://web.archive.org/web/20100215080410/http://www.ag.ny.gov/media_center/2008/aug/aug21d_08.html,,3191788,Bank of America,US0605051046,70858,20190907,3458333333,0,3458333333,,civil,,financial offenses,investor protection violation,,,,,20080821,state,agency action,,,,,Merrill Lynch,US5901881087,65100,Bank of America acquired Merrill Lynch in 2009
U.S. Attorney-Eastern District of New York,USAO,2018,"Barclays Capital, Inc.",,,,,,"The United States reached agreement with Barclays Capital, Inc. and several of its affiliates related to Barclays' underwriting and issuance of residential mortgage-backed securities between 2005 and 2007.  Barclays agreed to pay the United States $2 billion in civil penalties in exchange for dismissal of the Amended Complaint.",,https://www.justice.gov/usao-edny/pr/barclays-agrees-pay-2-billion-civil-penalties-resolve-claims-fraud-sale-residential,,2083052,Barclays,GB0031348658,,20180417,2000000000,0,2000000000,,civil,,financial offenses,toxic securities abuses,,,,,20180329,federal,agency action,,,,,Barclays,GB0031348658,,
,,2020,Bayer AG,,,,,,"Bayer agreed to pay $1.6 billion to settle thousands of claims that its Essure birth control coils, which are inserted into the fallopian tubes have caused serious health problems, including the perforation of the uterus and fallopian tubes, abdominal pain, menstrual issues, miscarriages and unintended pregnancies.",,https://www.law360.com/articles/1303088/bayer-pays-1-6b-to-settle-suits-over-essure-contraceptive,,4199930,Bayer,DE000BAY0017,,20211216,1600000000,0,1600000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,JCCP 4887,,20200820,state,private litigation,Alameda County (CA) Superior Court,Essure Products Cases,settlement,,Bayer,DE000BAY0017,,
New York Department of Financial Services,NY-DFS,2014,BNP Paribas,,,,NY,,"The New York State Department of Financial Services announced that BNP Paribas would pay a penalty of $2.24 billion tas part of the resolution of allegations that it engaged in a scheme to concealed more than $190 billion in transactions between 2002 and 2012 for clients subject to U.S. sanctions, including Sudan, Iran, and Cuba. The penalty was part of a larger $8.8 billion settlement that also included a federal criminal case; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bnp-paribas-sa",,https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1406301,,3428506,BNP Paribas,FR0000131104,,20200615,2240000000,0,2240000000,,civil,,financial offenses,economic sanction violation,,,,,20140630,state,agency action,,,,,BNP Paribas,FR0000131104,,
